id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2018-11-02,"{""address"": ""Street 40, City 29"", ""phone"": ""1506076536"", ""email"": ""email_15@example.com""}",Marketing,
2,Name_436,62.0,50000,2024-04-25,"{""address"": ""Street 59, City 19"", ""phone"": ""3852067496"", ""email"": ""email_951@example.com""}",Marketing,
3,Name_861,61.0,60000,,"{""address"": ""Street 53, City 31"", ""phone"": ""9440261920"", ""email"": ""email_627@example.com""}",HR,2646.0
4,Name_271,36.0,70000,2024-04-20,"{""address"": ""Street 92, City 34"", ""phone"": ""4600523881"", ""email"": ""email_107@example.com""}",,2470.0
5,Name_107,78.0,60000,2016-06-16,"{""address"": ""Street 77, City 39"", ""phone"": ""6297458477"", ""email"": ""email_16@example.com""}",IT,9582.0
6,Name_72,35.0,,2022-10-30,"{""address"": ""Street 8, City 5"", ""phone"": ""9451756899"", ""email"": ""email_580@example.com""}",IT,5995.0
7,Name_701,73.0,60000,2022-08-31,"{""address"": ""Street 67, City 23"", ""phone"": ""8742914266"", ""email"": ""email_52@example.com""}",Finance,3208.0
8,Name_21,18.0,60000,2017-06-20,"{""address"": ""Street 78, City 25"", ""phone"": ""9348710011"", ""email"": ""email_776@example.com""}",IT,2055.0
9,Name_615,42.0,50000,2018-02-08,"{""address"": ""Street 38, City 29"", ""phone"": ""7245406281"", ""email"": ""email_332@example.com""}",IT,
10,Name_122,44.0,50000,2017-07-26,"{""address"": ""Street 78, City 23"", ""phone"": ""9093043790"", ""email"": ""email_779@example.com""}",HR,8716.0
11,Name_467,24.0,70000,2023-01-16,"{""address"": ""Street 21, City 47"", ""phone"": ""4398529697"", ""email"": ""email_28@example.com""}",Finance,6302.0
12,Name_215,61.0,,2019-08-20,"{""address"": ""Street 95, City 13"", ""phone"": ""2178450893"", ""email"": ""email_745@example.com""}",IT,3584.0
13,Name_331,59.0,70000,2022-04-25,"{""address"": ""Street 32, City 6"", ""phone"": ""2083278766"", ""email"": ""email_125@example.com""}",IT,8881.0
14,Name_459,46.0,,2021-08-06,"{""address"": ""Street 37, City 31"", ""phone"": ""1770850197"", ""email"": ""email_719@example.com""}",,2183.0
15,Name_88,48.0,,2017-08-04,"{""address"": ""Street 45, City 29"", ""phone"": ""4970555814"", ""email"": ""email_330@example.com""}",IT,6495.0
16,Name_373,61.0,,,"{""address"": ""Street 36, City 47"", ""phone"": ""7080455232"", ""email"": ""email_229@example.com""}",HR,7664.0
17,Name_100,60.0,60000,2016-05-03,"{""address"": ""Street 43, City 26"", ""phone"": ""4226360893"", ""email"": ""email_908@example.com""}",IT,7837.0
18,Name_872,53.0,60000,2017-05-13,"{""address"": ""Street 9, City 4"", ""phone"": ""1210331382"", ""email"": ""email_534@example.com""}",IT,1281.0
19,Name_664,36.0,50000,2016-03-09,"{""address"": ""Street 32, City 43"", ""phone"": ""9836187450"", ""email"": ""email_106@example.com""}",Marketing,7307.0
20,Name_131,23.0,70000,2023-10-23,,IT,6909.0
21,Name_662,42.0,60000,2015-02-10,"{""address"": ""Street 87, City 44"", ""phone"": ""6822833270"", ""email"": ""email_526@example.com""}",Finance,1721.0
22,Name_309,48.0,70000,2018-05-15,"{""address"": ""Street 16, City 4"", ""phone"": ""5196196217"", ""email"": ""email_123@example.com""}",Marketing,8155.0
23,Name_770,26.0,60000,2022-01-26,"{""address"": ""Street 22, City 1"", ""phone"": ""6413092387"", ""email"": ""email_884@example.com""}",Finance,9702.0
24,Name_344,37.0,70000,2024-12-06,"{""address"": ""Street 82, City 20"", ""phone"": ""4069087994"", ""email"": ""email_973@example.com""}",Finance,5522.0
25,Name_492,27.0,,2024-01-13,,HR,5400.0
26,Name_414,54.0,,2016-12-24,"{""address"": ""Street 91, City 3"", ""phone"": ""9052774959"", ""email"": ""email_500@example.com""}",IT,4620.0
27,Name_806,44.0,60000,2018-04-08,"{""address"": ""Street 39, City 33"", ""phone"": ""7820364795"", ""email"": ""email_969@example.com""}",Finance,3257.0
28,Name_386,30.0,70000,2023-02-07,"{""address"": ""Street 27, City 42"", ""phone"": ""7825767472"", ""email"": ""email_858@example.com""}",IT,8367.0
29,Name_192,58.0,70000,2024-09-24,,IT,9927.0
30,Name_956,19.0,,2025-01-11,"{""address"": ""Street 60, City 6"", ""phone"": ""4649855930"", ""email"": ""email_330@example.com""}",HR,
31,Name_277,67.0,70000,2020-01-14,"{""address"": ""Street 67, City 42"", ""phone"": ""9206781070"", ""email"": ""email_148@example.com""}",HR,2851.0
32,Name_161,38.0,50000,,"{""address"": ""Street 22, City 34"", ""phone"": ""3874481536"", ""email"": ""email_422@example.com""}",Finance,5339.0
33,Name_460,50.0,70000,2023-12-22,"{""address"": ""Street 56, City 20"", ""phone"": ""1329844973"", ""email"": ""email_199@example.com""}",Finance,5689.0
34,Name_314,41.0,,,,Marketing,8510.0
35,Name_22,70.0,50000,2020-02-12,"{""address"": ""Street 4, City 18"", ""phone"": ""9244216887"", ""email"": ""email_382@example.com""}",IT,4792.0
36,Name_253,61.0,50000,2024-09-11,,IT,7129.0
37,Name_748,59.0,70000,2021-01-24,"{""address"": ""Street 54, City 39"", ""phone"": ""6234628355"", ""email"": ""email_625@example.com""}",HR,9092.0
38,Name_857,51.0,,2019-06-07,"{""address"": ""Street 66, City 38"", ""phone"": ""9591528412"", ""email"": ""email_164@example.com""}",HR,6245.0
39,Name_561,77.0,,2020-01-25,"{""address"": ""Street 42, City 16"", ""phone"": ""3663438066"", ""email"": ""email_300@example.com""}",Finance,2056.0
40,Name_475,26.0,,2023-08-02,"{""address"": ""Street 85, City 39"", ""phone"": ""1974056501"", ""email"": ""email_582@example.com""}",Marketing,2543.0
41,Name_59,19.0,50000,2018-05-22,"{""address"": ""Street 7, City 16"", ""phone"": ""4845483025"", ""email"": ""email_538@example.com""}",Marketing,8204.0
42,Name_511,72.0,,2015-04-27,"{""address"": ""Street 7, City 37"", ""phone"": ""8198005658"", ""email"": ""email_289@example.com""}",HR,1965.0
43,Name_682,73.0,50000,,,HR,8889.0
44,Name_476,47.0,,2022-08-22,"{""address"": ""Street 47, City 1"", ""phone"": ""1098471481"", ""email"": ""email_396@example.com""}",Marketing,7799.0
45,Name_700,,60000,,"{""address"": ""Street 72, City 7"", ""phone"": ""6463751104"", ""email"": ""email_770@example.com""}",Marketing,8248.0
46,Name_976,63.0,70000,2023-12-26,"{""address"": ""Street 97, City 11"", ""phone"": ""3669230674"", ""email"": ""email_277@example.com""}",Finance,3253.0
47,Name_783,28.0,,2018-08-15,"{""address"": ""Street 38, City 18"", ""phone"": ""4502590495"", ""email"": ""email_954@example.com""}",Marketing,3536.0
48,Name_190,72.0,50000,2017-03-20,"{""address"": ""Street 80, City 48"", ""phone"": ""7481195200"", ""email"": ""email_461@example.com""}",IT,
49,Name_958,60.0,70000,2015-06-02,,Marketing,1401.0
50,Name_687,34.0,50000,2017-10-30,"{""address"": ""Street 38, City 20"", ""phone"": ""2266837952"", ""email"": ""email_313@example.com""}",,3814.0
51,Name_958,53.0,70000,2016-10-13,"{""address"": ""Street 98, City 16"", ""phone"": ""7641432642"", ""email"": ""email_765@example.com""}",Marketing,7425.0
52,Name_563,30.0,50000,2021-09-25,"{""address"": ""Street 14, City 2"", ""phone"": ""8306613395"", ""email"": ""email_212@example.com""}",HR,8298.0
53,Name_876,24.0,,,"{""address"": ""Street 38, City 26"", ""phone"": ""7676689971"", ""email"": ""email_709@example.com""}",HR,1538.0
54,Name_567,33.0,60000,2021-09-13,"{""address"": ""Street 36, City 18"", ""phone"": ""8978089683"", ""email"": ""email_363@example.com""}",,9081.0
55,Name_244,50.0,60000,2019-06-19,"{""address"": ""Street 27, City 6"", ""phone"": ""3515582721"", ""email"": ""email_219@example.com""}",IT,4236.0
56,Name_832,62.0,60000,,"{""address"": ""Street 81, City 3"", ""phone"": ""5606412050"", ""email"": ""email_522@example.com""}",Marketing,9828.0
57,Name_505,18.0,,2018-08-20,"{""address"": ""Street 5, City 2"", ""phone"": ""2078439993"", ""email"": ""email_68@example.com""}",Marketing,5471.0
58,Name_131,28.0,70000,2020-12-09,"{""address"": ""Street 46, City 12"", ""phone"": ""5339926669"", ""email"": ""email_904@example.com""}",,2215.0
