id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77.0,60000.0,2018-11-02,Marketing,,"Street 40, City 29",1506076536,email_15@example.com,18,medium
2,Name_436,62.0,50000.0,2024-04-25,Marketing,,"Street 59, City 19",3852067496,email_951@example.com,18,low
3,Name_861,61.0,60000.0,,HR,2646.0,"Street 53, City 31",9440261920,email_627@example.com,18,medium
4,Name_271,36.0,70000.0,2024-04-20,Unknown,2470.0,"Street 92, City 34",4600523881,email_107@example.com,18,medium
5,Name_107,78.0,60000.0,2016-06-16,IT,9582.0,"Street 77, City 39",6297458477,email_16@example.com,18,medium
6,Name_72,35.0,60000.0,2022-10-30,IT,5995.0,"Street 8, City 5",9451756899,email_580@example.com,16,medium
7,Name_701,73.0,60000.0,2022-08-31,Finance,3208.0,"Street 67, City 23",8742914266,email_52@example.com,18,medium
8,Name_21,18.0,60000.0,2017-06-20,IT,2055.0,"Street 78, City 25",9348710011,email_776@example.com,18,medium
9,Name_615,42.0,50000.0,2018-02-08,IT,,"Street 38, City 29",7245406281,email_332@example.com,18,low
10,Name_122,44.0,50000.0,2017-07-26,HR,8716.0,"Street 78, City 23",9093043790,email_779@example.com,18,low
11,Name_467,24.0,70000.0,2023-01-16,Finance,6302.0,"Street 21, City 47",4398529697,email_28@example.com,18,medium
12,Name_215,61.0,60000.0,2019-08-20,IT,3584.0,"Street 95, City 13",2178450893,email_745@example.com,18,medium
13,Name_331,59.0,70000.0,2022-04-25,IT,8881.0,"Street 32, City 6",2083278766,email_125@example.com,17,medium
14,Name_459,46.0,60000.0,2021-08-06,Unknown,2183.0,"Street 37, City 31",1770850197,email_719@example.com,18,medium
15,Name_88,48.0,60000.0,2017-08-04,IT,6495.0,"Street 45, City 29",4970555814,email_330@example.com,18,medium
16,Name_373,61.0,60000.0,,HR,7664.0,"Street 36, City 47",7080455232,email_229@example.com,18,medium
17,Name_100,60.0,60000.0,2016-05-03,IT,7837.0,"Street 43, City 26",4226360893,email_908@example.com,18,medium
18,Name_872,53.0,60000.0,2017-05-13,IT,1281.0,"Street 9, City 4",1210331382,email_534@example.com,16,medium
19,Name_664,36.0,50000.0,2016-03-09,Marketing,7307.0,"Street 32, City 43",9836187450,email_106@example.com,18,low
20,Name_131,23.0,70000.0,2023-10-23,IT,6909.0,,,,4,medium
21,Name_662,42.0,60000.0,2015-02-10,Finance,1721.0,"Street 87, City 44",6822833270,email_526@example.com,18,medium
